CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Este;28044185;EEI;MUNICIPAL DE ARGANDA DEL REY;Calle Piragua, 2 ;Arganda del Rey;-;28500;918760044;-;Público;
Madrid-Este;28046194;EEI;MUNICIPAL DE PARACUELLOS DEL JARAMA;Calle Ajalvir, 31 ;Paracuellos de Jarama;-;28860;916580600;916580600;Público;
Madrid-Este;28072417;EEI;NANA DE LA CEBOLLA;Calle Fernando Trueba, 6 ;Rivas-Vaciamadrid;-;28521;914997397;914997397;Público;
Madrid-Sur;28073124;EEI;NANAS;Calle Pablo Neruda, 3 ;Alcorcón;-;28922;916443586;-;Público;
Madrid-Sur;28066314;EEI;NICOLAS GUILLEN;Camino De Torrejón De Velasco, 5 ;Casarrubuelos;-;28977;918167143;918167143;Público;
Madrid-Sur;28073215;EEI;OSA MAYOR;Calle Casiopea, 14 ;Móstoles;-;28938;916463375;916463375;Público;
Madrid-Oeste;28002713;EEI;PADRE GERARDO GIL;Calle Del Padre Villacastín, S/n ;Escorial, El;-;28280;918902850;918901992;Público;
Madrid-Sur;28058172;EEI;PANDORA;Calle Del Álamo, 3 ;Leganés;-;28918;916898469;916898469;Público;
Madrid-Sur;28047617;EEI;PARQUE COIMBRA;Calle Del Cerezo, S/n ;Móstoles;-;28935;916475053;916475053;Público;
Madrid-Norte;28049134;EEI;PASACALLES;Calle De Miguel Delibes, 1 ;Algete;-;28110;916292646;916292646;Público;
Madrid-Este;28065383;EEI;PASO A PASITO;Calle Valencia, S/n ;Paracuellos de Jarama;-;28860;916581988;916581988;Público;
Madrid-Este;28061663;EEI;PATAS ARRIBA;Calle Federica Montseny, 1 ;Rivas-Vaciamadrid;-;28521;914998120;914998120;Público;
Madrid-Sur;28068372;EEI;PETIRROJO;Calle Antonio Machado, S/n ;Torrejón de la Calzada;-;28991;918160289;918160289;Público;
Madrid-Este;28048658;EEI;PILOCHA;Calle De Antonio Machado, S/n ;Mejorada del Campo;-;28840;916790671;916681527;Público;
Madrid-Sur;28066028;EEI;PIMPOLLITOS;Calle Asturias, 91 ;Pinto;-;28320;916987971;916987971;Público;
Madrid-Este;28066259;EEI;PINCELADAS;Camino De La Poveda, 5 ;Arganda del Rey;-;28500;918706925;918719495;Público;
Madrid-Norte;28068116;EEI;PIO PIO;Avenida Olímpica, 12 ;Alcobendas;-;28108;916618739;916618739;Público;
Madrid-Este;28047642;EEI;PLATERO;Avenida De Covibar, 4 ;Rivas-Vaciamadrid;-;28523;916661927;916669767;Público;
Madrid-Sur;28048646;EEI;PLATERO Y YO;Calle De Jacinto Benavente, 15 ;Humanes de Madrid;-;28970;916048420;916048420;Público;
Madrid-Este;28043995;EEI;POLICHINELA;Calle Motrico, S/n ;San Fernando de Henares;-;28830;916724762;916699853;Público;
Madrid-Sur;28058925;EEI;PRADO ALTO;Calle Murillo, S/n ;Brunete;-;28690;918159827;918159827;Público;
Madrid-Sur;28074025;EEI;PRIMEROS PASOS;Calle De Zamora, 8 ;Leganés;-;28914;912640171;-;Público;
Madrid-Este;28044124;EEI;PUERTA DE MADRID;Calle Juan De Vergara, 6 ;Alcalá de Henares;-;28802;918814128;918814128;Público;
Madrid-Este;28047423;EEI;RAYUELA;Plaza Ecópolis, 1 ;Rivas-Vaciamadrid;-;28523;916660550;914992302;Público;
Madrid-Sur;28043867;EEI;RINCON INFANTIL;Calle Priorato, 79 ;Leganés;-;28915;916861898;916861898;Público;
Madrid-Norte;28065981;EEI;RIO DE ALISOS;Calle Del Manzanares, 13 ;Guadalix de la Sierra;-;28794;918472867;918472867;Público;
Madrid-Sur;28060622;EEI;RODARI;Avenida De Villaviciosa, S/n ;Alcorcón;-;28922;914983313;-;Público;
Madrid-Oeste;28047496;EEI;ROMANILLOS;Calle De Cazorla, 2 ;Boadilla del Monte;-;28660;916330821;916330821;Público;
Madrid-Sur;28049080;EEI;ROSA CARAMELO;Calle De Gabriela Mistral, 8 ;Leganés;-;28919;912282203;912282203;Público;
Madrid-Norte;28071024;EEI;SANSERITO;Calle Emilia Pardo Bazán, 6 ;San Sebastián de los Reyes;-;28702;912685280;912685280;Público;
Madrid-Norte;28057726;EEI;SANTA CECILIA;Avenida De La Constitución, 2 ;Molar, El;-;28710;918411182;918411182;Público;
Madrid-Sur;28070238;EEI;SANTA MADRE MARAVILLAS;Calle Guanabacoa, 4 ;Getafe;-;28907;914914352;-;Público;
Madrid-Este;28072326;EEI;SANTIAGO APOSTOL;Calle Santiago Apóstol, 1 ;Paracuellos de Jarama;-;28860;912687765;916673958;Público;
Madrid-Sur;28070366;EEI;SUEÑOS;Avenida Del Alcalde José Aranda, S/n ;Alcorcón;-;28923;916448487;916448487;Público;
Madrid-Oeste;28070251;EEI;TACATACA;Avenida Guadarrama, 24 ;Majadahonda;-;28220;916346567;-;Público;
Madrid-Oeste;28057428;EEI;TAKARA;Calle De Federico García Lorca, 4 ;Boadilla del Monte;-;28660;916339061;916339067;Público;
Madrid-Oeste;28043879;EEI;TALIN;Travesia Avenida De España, 2 ;Majadahonda;-;28220;916391199;-;Público;
Madrid-Oeste;28057441;EEI;TAMARAL;Calle Granja Del Conde, 21 ;Majadahonda;-;28220;916392403;916387048;Público;
Madrid-Este;28066260;EEI;TESOROS;Calle De La Felicidad, 4 ;Arganda del Rey;-;28500;918759152;918767049;Público;
Madrid-Norte;28047277;EEI;TORRELAGUNA;Calle De Fray José De Almonacid, 13 ;Torrelaguna;-;28180;918430904;918430904;Público;
Madrid-Sur;28064093;EEI;TRAGALUZ;Calle Manuel Hernández Mompo, 4 ;Pinto;-;28320;916987051;916928886;Público;
